Quater,State,Net Interstate Migration,Net Overseas Migration,Number of change
1/09/1990,Australian Capital Territory,495,224,719
1/09/1990,New South Wales,-5141,10649,5508
1/09/1990,Northern Territory,-332,268,-64
1/09/1990,Queensland,6175,2596,8771
1/09/1990,South Australia,446,1168,1614
1/09/1990,Tasmania,412,116,528
1/09/1990,Victoria,-2322,6884,4562
1/09/1990,Western Australia,267,2951,3218
1/12/1990,Australian Capital Territory,636,-228,408
1/12/1990,New South Wales,-6389,7053,664
1/12/1990,Northern Territory,49,28,77
1/12/1990,Queensland,9002,990,9992
1/12/1990,South Australia,287,1016,1303
1/12/1990,Tasmania,94,59,153
1/12/1990,Victoria,-3208,4374,1166
1/12/1990,Western Australia,-471,1717,1246
1/03/1991,Australian Capital Territory,758,576,1334
1/03/1991,New South Wales,-3372,12878,9506
1/03/1991,Northern Territory,-537,215,-322
1/03/1991,Queensland,8867,4082,12949
1/03/1991,South Australia,575,1540,2115
1/03/1991,Tasmania,155,272,427
1/03/1991,Victoria,-5335,9336,4001
1/03/1991,Western Australia,-1111,4218,3107
1/06/1991,Australian Capital Territory,1043,-145,898
1/06/1991,New South Wales,-2304,5916,3612
1/06/1991,Northern Territory,-332,110,-222
1/06/1991,Queensland,5665,2075,7740
1/06/1991,South Australia,237,895,1132
1/06/1991,Tasmania,155,-39,116
1/06/1991,Victoria,-3988,2919,-1069
1/06/1991,Western Australia,-476,1719,1243
1/09/1991,Australian Capital Territory,79,110,189
1/09/1991,New South Wales,-2989,11509,8520
1/09/1991,Northern Territory,90,210,300
1/09/1991,Queensland,7384,3210,10594
1/09/1991,South Australia,156,1103,1259
1/09/1991,Tasmania,91,51,142
1/09/1991,Victoria,-4626,6637,2011
1/09/1991,Western Australia,-185,2982,2797
1/12/1991,Australian Capital Territory,39,-204,-165
1/12/1991,New South Wales,-3719,4838,1119
1/12/1991,Northern Territory,-419,-130,-549
1/12/1991,Queensland,9047,812,9859
1/12/1991,South Australia,-325,477,152
1/12/1991,Tasmania,-30,2,-28
1/12/1991,Victoria,-4506,2586,-1920
1/12/1991,Western Australia,-87,909,822
1/03/1992,Australian Capital Territory,543,384,927
1/03/1992,New South Wales,-5164,11443,6279
1/03/1992,Northern Territory,-56,160,104
1/03/1992,Queensland,11028,3291,14319
1/03/1992,South Australia,50,1127,1177
1/03/1992,Tasmania,-154,60,-94
1/03/1992,Victoria,-5954,7741,1787
1/03/1992,Western Australia,-293,2866,2573
1/06/1992,Australian Capital Territory,704,-262,442
1/06/1992,New South Wales,-1935,3388,1453
1/06/1992,Northern Territory,-584,-76,-660
1/06/1992,Queensland,6640,937,7577
1/06/1992,South Australia,-539,190,-349
1/06/1992,Tasmania,-196,-77,-273
1/06/1992,Victoria,-3341,1398,-1943
1/06/1992,Western Australia,-749,908,159
1/09/1992,Australian Capital Territory,174,-38,136
1/09/1992,New South Wales,-3407,6423,3016
1/09/1992,Northern Territory,-431,81,-350
1/09/1992,Queensland,11467,2169,13636
1/09/1992,South Australia,-1324,634,-690
1/09/1992,Tasmania,-417,95,-322
1/09/1992,Victoria,-6596,3914,-2682
1/09/1992,Western Australia,534,1815,2349
1/12/1992,Australian Capital Territory,-297,-321,-618
1/12/1992,New South Wales,-5250,1890,-3360
1/12/1992,Northern Territory,462,-86,376
1/12/1992,Queensland,11289,-113,11176
1/12/1992,South Australia,-810,184,-626
1/12/1992,Tasmania,-44,-38,-82
1/12/1992,Victoria,-5120,935,-4185
1/12/1992,Western Australia,-230,336,106
1/03/1993,Australian Capital Territory,1410,246,1656
1/03/1993,New South Wales,-5784,6812,1028
1/03/1993,Northern Territory,-182,100,-82
1/03/1993,Queensland,16153,2476,18629
1/03/1993,South Australia,-2136,945,-1191
1/03/1993,Tasmania,-471,182,-289
1/03/1993,Victoria,-7738,4882,-2856
1/03/1993,Western Australia,-1252,2859,1607
1/06/1993,Australian Capital Territory,29,-490,-461
1/06/1993,New South Wales,-3094,-2497,-5591
1/06/1993,Northern Territory,-548,-51,-599
1/06/1993,Queensland,10253,-813,9440
1/06/1993,South Australia,-940,-217,-1157
1/06/1993,Tasmania,-562,-136,-698
1/06/1993,Victoria,-5934,-1766,-7700
1/06/1993,Western Australia,796,-370,426
1/09/1993,Australian Capital Territory,-45,97,52
1/09/1993,New South Wales,-2998,8122,5124
1/09/1993,Northern Territory,126,116,242
1/09/1993,Queensland,12267,2385,14652
1/09/1993,South Australia,-786,937,151
1/09/1993,Tasmania,-351,99,-252
1/09/1993,Victoria,-8573,3824,-4749
1/09/1993,Western Australia,360,2221,2581
1/12/1993,Australian Capital Territory,-113,-445,-558
1/12/1993,New South Wales,-2895,3199,304
1/12/1993,Northern Territory,-215,-57,-272
1/12/1993,Queensland,10143,118,10261
1/12/1993,South Australia,-799,163,-636
1/12/1993,Tasmania,-490,-26,-516
1/12/1993,Victoria,-6473,1057,-5416
1/12/1993,Western Australia,842,850,1692
1/03/1994,Australian Capital Territory,-284,170,-114
1/03/1994,New South Wales,-2330,8097,5767
1/03/1994,Northern Territory,-425,78,-347
1/03/1994,Queensland,12793,2279,15072
1/03/1994,South Australia,-1445,899,-546
1/03/1994,Tasmania,-862,118,-744
1/03/1994,Victoria,-8543,4946,-3597
1/03/1994,Western Australia,1096,2952,4048
1/06/1994,Australian Capital Territory,16,-240,-224
1/06/1994,New South Wales,-3957,2511,-1446
1/06/1994,Northern Territory,-361,58,-303
1/06/1994,Queensland,9733,459,10192
1/06/1994,South Australia,-948,-5,-953
1/06/1994,Tasmania,-404,1,-403
1/06/1994,Victoria,-5606,871,-4735
1/06/1994,Western Australia,1527,695,2222
1/09/1994,Australian Capital Territory,-288,216,-72
1/09/1994,New South Wales,-2412,12369,9957
1/09/1994,Northern Territory,-519,265,-254
1/09/1994,Queensland,9339,4131,13470
1/09/1994,South Australia,-1504,937,-567
1/09/1994,Tasmania,-409,175,-234
1/09/1994,Victoria,-5694,6111,417
1/09/1994,Western Australia,1487,3563,5050
1/12/1994,Australian Capital Territory,-187,-618,-805
1/12/1994,New South Wales,-3658,2602,-1056
1/12/1994,Northern Territory,367,-86,281
1/12/1994,Queensland,9954,-160,9794
1/12/1994,South Australia,-1357,38,-1319
1/12/1994,Tasmania,-753,-82,-835
